Date,AGR_TOTL,CO2E_EG,CO2E_GF,CO2E_LF,CO2E_SF,CO2_BLDG,CO2_ETOT,CO2_MANF,CO2_OTHX,CO2_TRAN,DCO2_GN,DFOR_GN,FRST_RT,LCTY_UR,MCTY_TL,TOTL_KD
1960-12-31,65.4967058787,,0.0,89.8166495753,9.05477129788,,,,,,,,,37.0470646349,3.80303395201,
1961-12-31,64.9978394163,,0.0,89.6243234118,9.41684592544,,,,,,,,,37.933262039,4.01301598444,
1962-12-31,65.9970013844,,0.0,89.8253362192,8.8233432569,,,,,,,,,38.8221000567,4.22451918418,
1963-12-31,64.8539562255,,0.0,90.5379318731,7.71828799812,,,,,,,,,39.4952533009,4.38103585818,
1964-12-31,51.8491012033,,0.0,81.6968740418,16.0986706403,,,,,,,,,40.3190666321,4.55791336245,
1965-12-31,40.5135721905,,0.0,81.0283525986,16.7786183448,,,,,,,,,41.1300729198,4.75261644075,-4.78135282815
1966-12-31,37.8328361517,,0.0,81.6299774568,15.5504976869,,,,,,,,,41.7181599911,4.95828586543,2.88762054586
1967-12-31,37.7926038867,,1.44897959184,81.5814120126,13.8690726567,,,,,,,,,42.0240984619,5.17997538781,-1.06778403954
1968-12-31,36.1014166082,,2.03165098375,83.0156694221,11.614149112,,,,,,,,,42.1799494573,5.42071413736,-2.18207398259
1969-12-31,34.7409715183,,0.0,85.0203751868,11.4640397743,,,,,,,,,42.343789745,5.67592805274,1.66908389158
1970-12-31,39.2212271239,,0.924185463659,83.673209504,10.852035489,,,,,,0.177127654765,1.98792140152,3.90445818289,42.5235612428,5.91793995076,6.24782328768
1971-12-31,38.9572023392,0.929444239302,1.65791655153,84.2732926367,9.74930468492,7.23104142546,18.5796120681,29.6782385773,9.26695604193,35.1858428493,0.18668364723,1.7225156933,3.40863460363,42.7897137515,6.16785855032,5.4947012723
1972-12-31,38.7964976725,0.897025876634,1.4012303486,83.9223612456,9.19626575293,6.9089620402,17.6537053018,28.5340082942,9.37012137279,37.6971374172,0.181262206485,2.00784584793,3.70743499842,43.1698304656,6.44863589227,2.06680037995
1973-12-31,39.007409979,0.98778950153,1.45413870246,84.838845577,8.81951279132,6.9357492145,15.6933508059,29.0964143541,9.92357033302,38.3583357842,0.176874684854,2.94107651301,5.45458031783,43.6013247884,6.74697554741,0.78109300444
1974-12-31,38.7007158316,0.938870193836,1.48866429937,85.2196484507,8.32881425752,7.28731777422,15.4643301607,28.2011818069,9.90360026665,39.1435699915,0.172661313123,2.68037257342,5.2356291111,43.9457855702,7.0456313069,-2.92157305746
1975-12-31,38.5867231623,0.995535122057,1.60098522167,85.3749422063,8.60998311384,8.68799147304,16.7233929256,26.7979330623,9.56832246641,37.8763879692,0.17897669084,3.22237362786,6.13744815642,44.1624365726,7.30598910849,12.1114227544
1976-12-31,39.5652746087,0.969857688883,1.08065366368,84.9420898912,8.99509209044,6.39815042136,15.5007348105,28.2946704997,9.26023775185,40.3629928847,0.173358692314,3.16776207727,5.89119339906,44.2182055385,7.50388965692,3.9894027165
1977-12-31,40.8563655864,0.981069987611,1.53374233129,85.8117705093,8.2945532921,7.99001068801,14.5605991681,27.690545839,10.2844919786,39.2660006668,0.194850134685,3.57454187256,7.65413179537,44.2451496088,7.69909932328,9.17791107315
1978-12-31,41.4798084438,0.966138611661,0.994421537715,86.7523393806,8.58733631183,8.97283601514,13.6178749727,28.184560987,10.5767876379,38.7018136637,0.181640599567,2.96579534013,6.66116439991,44.3188711036,7.90683649559,2.53146803783
1979-12-31,41.6780963311,0.987780460096,1.22749590835,88.0918466931,6.92098506014,7.86413692799,14.3447427654,26.5027341598,11.7366337687,39.6154466456,0.191023134353,3.34597435167,8.13941473542,44.4222799075,8.13246929173,2.0009647252
1980-12-31,40.2608556537,0.828166438606,0.758928571429,86.7726044906,8.76979388246,10.8961494576,14.1381898699,24.1617789557,10.812786978,40.0446270846,0.229507817386,3.83329358001,10.1374066208,44.158473444,8.37639994891,0.454406463956
1981-12-31,42.4291585486,0.97939862983,1.09585423818,86.8068819221,8.44030045489,10.1647267717,14.2106724529,24.9312483721,11.0815812269,39.5464116993,0.198919986802,3.41673238087,7.59513396734,43.9834138201,8.61580782573,4.30754172631
1982-12-31,41.9719534136,1.092383878,1.34629768138,84.2979404894,10.2563359179,10.7605698311,16.2290602869,24.8974397546,9.5519396948,38.5344032668,0.179958614203,4.72595227523,10.702724482,44.0093188043,8.89110550257,-0.264645935834
1983-12-31,42.4092690473,1.1025612124,1.74418604651,83.8848290467,10.1898126216,10.3623215037,15.7256698673,22.9286951182,12.6803583479,38.3279644406,0.229415786012,3.23931822122,7.48222599607,44.2174069935,9.23892342916,3.32994333381
1984-12-31,41.5461559935,1.14175535864,2.35011102887,82.5126096516,10.3739823149,10.609915372,15.9967576243,22.9551009336,12.0711351762,38.5059797828,0.250966455855,3.05719935077,7.47634022841,44.5271176842,9.68245508783,4.1193472915
1985-12-31,43.0008325715,1.25343238909,2.42573518436,83.5259447676,9.84688827531,10.6220204536,15.6062642178,24.583390554,11.385596575,37.9345106941,0.281656416236,2.57221023579,5.93515458189,44.9242352052,10.2271121008,0.580391868484
1986-12-31,41.5673974614,1.13355311146,2.73378896483,82.9080193642,10.193396182,11.4639135548,14.152441378,26.3042501483,9.92940008887,38.1211216539,0.348045330749,4.70976907557,9.84211653971,45.2838941591,10.8308633326,4.33062855773
1987-12-31,43.1023552384,1.03420026044,0.897048960429,84.8270795283,10.261606546,11.1399206313,13.5935608082,25.2924610742,11.9113278107,37.9902659074,0.306010357593,4.31789226534,8.67966067899,45.6131024099,11.4993713836,5.01113708819
1988-12-31,43.9553632863,1.07214263277,1.09609061016,84.9604386871,10.0616628744,11.4877983903,13.2457054457,25.6820674888,11.8081296455,37.7768057718,0.287262696769,4.09597231261,8.9448235667,45.982031191,12.2384126005,3.83042589283
1989-12-31,42.5371939697,1.06732271058,1.23608227968,85.7407954487,8.8363948254,12.3069761033,12.3223575908,26.852874953,11.7115251898,36.8697582267,0.282769033054,4.97041004117,9.11352320326,46.458809046,13.0515950357,0.415714955466
1990-12-31,43.5556852774,1.39820587171,1.07632093933,79.299309434,8.47379468757,11.0321364288,13.0446124155,26.6824633652,10.8571603277,38.4511950302,0.283271882491,4.11096736733,12.2456321813,47.0494544631,13.9559126198,7.2107702273
1991-12-31,42.1217126632,0.887388220261,1.11344537815,79.9135260971,8.42080454355,9.51950616328,13.6801709604,20.5162573484,15.1443374084,41.3312395068,0.322383283565,4.02567560517,11.1543976873,47.6821463407,14.9769554543,4.15552802081
1992-12-31,41.6160965723,1.08121131564,1.81784796181,79.8801006976,7.80500022061,10.3418830837,20.1135365561,17.0945312104,11.7980767343,40.3601829512,0.36478670244,4.43534795449,13.5699250523,46.4567095239,13.8906916285,-10.275946833
1993-12-31,42.9883169756,0.872946541684,1.82857142857,78.794262395,8.75778955574,10.8292471777,19.2798658205,19.037332877,11.5557505593,39.3978691203,0.361724343488,4.33548905484,13.400195867,45.4313513053,13.0043989123,12.0914954812
1994-12-31,38.800057278,0.829862748241,1.7037037037,78.5422473674,8.48997488236,11.0607107601,18.5897070525,17.2166828787,10.3926777283,42.3351515037,0.434238114253,6.3809211115,16.8347272014,44.511523128,12.2462778768,-1.95031469232
1995-12-31,41.6805386271,0.766368101631,1.69556840077,79.5268282876,6.70320136528,12.1476823446,17.388758286,16.3103187291,13.5455391654,40.6701417171,0.437746428065,9.30885355203,21.0410213394,43.6072690678,11.5955673272,7.42554150774
1996-12-31,41.7537289229,0.938359077313,1.83486238532,84.9432491828,7.48120142343,12.9637072247,15.9124574437,15.9907014007,13.5819665207,41.2868418448,0.436072385044,8.83001183659,18.8566333347,46.0548843967,13.2012883784,4.39589280076
1997-12-31,41.7360407248,0.951970039647,1.80921052632,85.2382281602,7.14457158132,13.1641098193,16.2452121732,17.1163088721,12.7286533546,40.2563380147,0.470770192338,7.78380483653,15.6602185737,45.1616075477,12.8447384096,3.54421872703
1998-12-31,42.807551,0.818830887042,1.78571428571,85.2579480189,7.60629448621,12.0243572391,14.5077378882,18.1530046145,13.6950868135,41.3390071993,0.462605947932,9.46676905023,17.688390394,44.4870316978,12.5153923571,7.81526822495
1999-12-31,42.3580439102,0.804769562331,2.0767778477,84.5921638345,8.07686928587,10.7224391821,16.0164805414,18.3711791833,14.1586079138,40.5787276546,0.484911710909,6.37636392464,11.8176505136,43.8748843033,12.2436173809,3.26164338534
2000-12-31,37.0697229073,0.79198281312,1.90923317684,83.4385332542,9.2536740563,10.8031653312,16.0154508001,18.3020317482,4.38428956397,50.5970992595,0.411236701709,5.62921783027,9.51696354155,43.9081202773,12.4346705747,-4.27440602833
2001-12-31,35.7752265216,0.785416536959,2.15909090909,82.5889246274,9.86854484413,10.78402828,14.6836339043,18.0757813023,4.50037576975,52.193346791,0.418117103984,5.90458510297,9.43655272848,43.9260912786,12.6871978674,0.192836339333
2002-12-31,35.9415911125,0.783435280505,3.81659836066,81.7927068942,9.51290215832,10.8655069473,13.5135473369,18.0613892749,4.63716844629,52.7736072006,0.383171907689,6.99229092694,11.015613812,44.008498672,13.0345406869,2.82000418945
2003-12-31,35.0013445769,0.797313068372,2.80477031802,82.7665002561,8.97195481758,11.7814991452,12.9405607824,18.16932005,4.238363864,52.4002231385,0.431324595297,10.5038149943,16.6183988376,44.0568243598,13.439678944,-2.22859254957
2004-12-31,32.7974172361,1.29102073388,1.8365650858,83.4418521464,8.92389030581,10.3189440983,17.5104170089,17.9213691608,4.58347369066,49.8557446217,0.430318535254,7.83696467446,12.2584620627,44.2606299197,13.8770391041,1.93991927708
2005-12-31,33.6064474711,1.30740532201,2.31141567722,83.2378182225,8.25709553262,10.1482168505,18.3091332856,18.6151695319,4.6032736586,48.3570150723,0.401793256029,7.22621403734,10.939229398,43.3789389743,13.5590909058,9.46133133371
2006-12-31,34.4715287477,1.26849852314,2.24266955372,83.2787732986,8.10223143044,9.42714159037,19.4944077902,17.5871141807,5.66601793077,48.1128021548,0.3661791893,7.12311001193,9.9799250425,42.6304995941,13.2848216096,1.28769413905
2007-12-31,35.3942338103,1.27904603416,1.94173223022,81.7367065483,9.57397176903,9.79528665764,19.937748762,19.6098484452,5.31217314737,45.2020838752,0.302641811318,9.42377980118,12.3243449308,41.0771095656,12.5637715471,3.98027222352
2008-12-31,35.2003505018,0.7745047858,1.50830403892,82.9536231367,8.95152448385,9.61841074455,19.6745080991,19.1056626331,5.54918388771,46.0746768985,0.267032493123,10.1855948104,12.5033854223,40.7409558005,12.5047255905,-0.140064371504
2009-12-31,34.6854692287,0.790279608401,1.73249608667,82.223629638,8.90753026066,8.97906226988,20.5204515634,18.9560601201,5.59974427615,46.3497599567,0.2652872035,9.75175485458,11.5963699026,40.7586746604,12.6916037803,7.05534121926
2010-12-31,34.1943021457,0.792653517149,1.98159329682,81.3266826136,9.10574240771,8.6327146542,19.1257167579,18.7997683688,5.34349513657,47.744044572,0.285444201906,8.72639811191,9.84809024991,40.7907984933,12.8978833039,2.00061422195
2011-12-31,33.7220727462,0.822430371381,2.07098771409,80.6253539647,9.73277273076,7.20321530075,19.9477014263,20.7214834711,5.27603982088,46.5235979991,0.282579684525,8.75069985007,9.64855878509,40.8390414336,13.1240032639,1.73211030934
2012-12-31,33.5777273339,,,,,6.4474090374,19.870325608,21.9668737877,5.12056170981,46.2736546977,0.290385969527,10.5716908301,11.1808870815,40.9056965762,13.3685195968,6.48683288615
2013-12-31,31.8779532449,,,,,,,,,,0.298071897728,10.6001461465,10.6488129479,40.9892443868,13.6292423306,1.96880866497
2014-12-31,35.3681452566,,,,,,,,,,,,,41.0899657381,13.9041186942,3.63407732415
